gene_set_name	interpretable_column	gene_set_filename	md5_checksum	download_location	description
S-cerevisiae_GO-BP	GO_name	S-cerevisiae_GO-BP_propagated_final.txt	d0bb69e0c6ed291e0ce6f9ced39a3314	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-cerevisiae_GO-BP_propagated_final.txt	Propagated GO Biological Process terms mapped from all S. cerevisiae genes.
S-cerevisiae_GO-CC	GO_name	S-cerevisiae_GO-CC_propagated_final.txt	b316d5d26b49ce39b4097e42321bcda5	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-cerevisiae_GO-CC_propagated_final.txt	Propagated GO Cellular Component terms mapped from all S. cerevisiae genes.
S-cerevisiae_GO-MF	GO_name	S-cerevisiae_GO-MF_propagated_final.txt	13f561976d3bd7440aa7c909d2eb9bc0	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-cerevisiae_GO-MF_propagated_final.txt	Propagated GO Molecular Function terms mapped from all S. cerevisiae genes.
S-cerevisiae_Complex_Science2016		S-cerevisiae_Complex_Science2016.txt	8f185267af502744b1805057ee77ad11	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-cerevisiae_Complex_Science2016.txt	S. cerevisiae protein complexes, as annotated in the Costanzo et al. Science 2016.
S-cerevisiae_Complex_Science2016_no-putative		S-cerevisiae_Complex_Science2016_no-putative.txt	f64bd87c16e5fc25e858bdd20499c63b	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-cerevisiae_Complex_Science2016_no-putative.txt	S. cerevisiae protein complexes, as annotated in the Costanzo et al. Science 2016, excluding "putative" complexes.
S-pombe_GO-BP	GO_name	S-pombe_2018-12-23_GO-BP_propagated_final.txt	e9c8dcbcdff1cd425aed1d6829814d92	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-pombe_2018-12-23_GO-BP_propagated_final.txt	Propagated GO Biological Process terms mapped from all S. pombe genes.
S-pombe_GO-CC	GO_name	S-pombe_2018-12-23_GO-CC_propagated_final.txt	6fca58b14df5cb1978a7940aeadcec07	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-pombe_2018-12-23_GO-CC_propagated_final.txt	Propagated GO Biological Process terms mapped from all S. pombe genes.
S-pombe_GO-MF	GO_name	S-pombe_2018-12-23_GO-MF_propagated_final.txt	3f68eebfc8e079a12ced38e8e7f7ea5d	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-pombe_2018-12-23_GO-MF_propagated_final.txt	Propagated GO Biological Process terms mapped from all S. pombe genes.
S-cerevisiae_GO-BP_2018-12-23	GO_name	S-cerevisiae_2018-12-23_GO-BP_propagated_final.txt	5f27551c68cd1b3b9ccee630a802c303	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-cerevisiae_2018-12-23_GO-BP_propagated_final.txt	Propagated GO Biological Process terms mapped from all S. cerevisiae genes, 2018-12-23 update.
S-cerevisiae_GO-CC_2018-12-23	GO_name	S-cerevisiae_2018-12-23_GO-CC_propagated_final.txt	d99d9c1ebe907c5cfebe00798c528f2a	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-cerevisiae_2018-12-23_GO-CC_propagated_final.txt	Propagated GO Cellular Component terms mapped from all S. cerevisiae genes, 2018-12-23 update.
S-cerevisiae_GO-MF_2018-12-23	GO_name	S-cerevisiae_2018-12-23_GO-MF_propagated_final.txt	9111d02f0f534b3799235be9f2fae1c3	http://lovelace.cs.umn.edu/ScottSimpkins/CG-TARGET/gene_sets/S-cerevisiae_2018-12-23_GO-MF_propagated_final.txt	Propagated GO Molecular Function terms mapped from all S. cerevisiae genes, 2018-12-23 update.
